Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
725-54-0677,Ameerpet,Hyderabad,Member,Female,Food and beverages,73.47,4,14.694,308.574,3/2/2019,18:30,Cash,293.88,4.761904762,14.694,6
636-98-3364,Gurgaon,Banglore,Non-Member,Male,Health and beauty,58.95,10,29.475,618.975,3/2/2019,14:27,UPI,589.5,4.761904762,29.475,8.1
825-94-5922,Ameerpet,Hyderabad,Member,Male,Food and beverages,48.5,6,14.55,305.55,3/2/2019,13:57,UPI,291,4.761904762,14.55,9.4
720-72-2436,Jayanagar,Mumbai,Member,Female,Electronic accessories,39.48,1,1.974,41.454,3/2/2019,19:43,Cash,39.48,4.761904762,1.974,6.5
172-42-8274,Jayanagar,Mumbai,Non-Member,Female,Sports and travel,34.81,1,1.7405,36.5505,3/2/2019,10:11,Credit/Debit card,34.81,4.761904762,1.7405,7
303-96-2227,Gurgaon,Banglore,Non-Member,Female,Fashion accessories,49.32,6,14.796,310.716,3/2/2019,13:46,UPI,295.92,4.761904762,14.796,7.1
631-41-3108,Ameerpet,Hyderabad,Member,Male,Fashion accessories,21.48,2,2.148,45.108,3/3/2019,12:22,UPI,42.96,4.761904762,2.148,6.6
777-82-7220,Jayanagar,Mumbai,Member,Female,Sports and travel,23.08,6,6.924,145.404,3/3/2019,19:20,UPI,138.48,4.761904762,6.924,4.9
861-77-0145,Jayanagar,Mumbai,Member,Female,Home and lifestyle,49.1,2,4.91,103.11,3/3/2019,12:58,Credit/Debit card,98.2,4.761904762,4.91,6.4
733-33-4967,Jayanagar,Mumbai,Member,Female,Sports and travel,64.83,2,6.483,136.143,3/3/2019,11:59,Credit/Debit card,129.66,4.761904762,6.483,8
175-54-2529,Ameerpet,Hyderabad,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,3/3/2019,17:59,Cash,635.6,4.761904762,31.78,4.3
305-14-0245,Gurgaon,Banglore,Member,Male,Sports and travel,72.88,2,7.288,153.048,3/3/2019,12:51,Cash,145.76,4.761904762,7.288,6.1
211-05-0490,Ameerpet,Hyderabad,Non-Member,Female,Food and beverages,67.1,3,10.065,211.365,3/3/2019,10:36,Cash,201.3,4.761904762,10.065,7.5
568-88-3448,Gurgaon,Banglore,Member,Female,Sports and travel,70.19,9,31.5855,663.2955,3/3/2019,13:38,Cash,631.71,4.761904762,31.5855,6.7
234-03-4040,Gurgaon,Banglore,Member,Male,Food and beverages,55.04,7,19.264,404.544,3/3/2019,19:39,UPI,385.28,4.761904762,19.264,5.2
302-15-2162,Ameerpet,Hyderabad,Member,Male,Health and beauty,48.63,10,24.315,510.615,3/3/2019,12:44,Cash,486.3,4.761904762,24.315,8.8
610-46-4100,Gurgaon,Banglore,Member,Female,Fashion accessories,73.38,7,25.683,539.343,3/3/2019,13:56,Cash,513.66,4.761904762,25.683,9.5
468-99-7231,Gurgaon,Banglore,Non-Member,Female,Food and beverages,52.6,9,23.67,497.07,3/3/2019,14:42,Cash,473.4,4.761904762,23.67,7.6
651-96-5970,Ameerpet,Hyderabad,Member,Female,Home and lifestyle,87.37,5,21.8425,458.6925,3/3/2019,19:45,Cash,436.85,4.761904762,21.8425,6.6
324-41-6833,Ameerpet,Hyderabad,Member,Female,Sports and travel,27.04,4,5.408,113.568,3/3/2019,20:26,UPI,108.16,4.761904762,5.408,6.9
228-96-1411,Jayanagar,Mumbai,Non-Member,Male,Home and lifestyle,62.19,4,12.438,261.198,3/4/2019,19:46,UPI,248.76,4.761904762,12.438,4.3
586-25-0848,Ameerpet,Hyderabad,Member,Male,Electronic accessories,69.58,9,31.311,657.531,3/4/2019,19:38,Credit/Debit card,626.22,4.761904762,31.311,7.8
667-92-0055,Gurgaon,Banglore,Non-Member,Male,Home and lifestyle,97.5,10,48.75,1023.75,3/4/2019,16:18,UPI,975,4.761904762,48.75,8
320-49-6392,Gurgaon,Banglore,Non-Member,Female,Fashion accessories,60.41,8,24.164,507.444,3/4/2019,12:23,UPI,483.28,4.761904762,24.164,9.6
346-12-3257,Jayanagar,Mumbai,Non-Member,Male,Food and beverages,32.32,3,4.848,101.808,3/4/2019,19:11,Credit/Debit card,96.96,4.761904762,4.848,4.3
256-08-8343,Jayanagar,Mumbai,Member,Female,Fashion accessories,19.77,10,9.885,207.585,3/4/2019,18:57,Credit/Debit card,197.7,4.761904762,9.885,5
227-50-3718,Jayanagar,Mumbai,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,3/4/2019,11:18,Cash,724.23,4.761904762,36.2115,9.2
689-05-1884,Jayanagar,Mumbai,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,3/4/2019,12:40,Cash,795.51,4.761904762,39.7755,6.3
759-29-9521,Jayanagar,Mumbai,Non-Member,Male,Health and beauty,71.77,7,25.1195,527.5095,3/4/2019,14:06,Cash,502.39,4.761904762,25.1195,8.9
276-75-6884,Jayanagar,Mumbai,Non-Member,Female,Electronic accessories,43,4,8.6,180.6,3/4/2019,20:48,UPI,172,4.761904762,8.6,7.6
558-60-5016,Gurgaon,Banglore,Member,Male,Food and beverages,68.98,1,3.449,72.429,3/4/2019,20:13,Cash,68.98,4.761904762,3.449,4.8
221-25-5073,Gurgaon,Banglore,Non-Member,Male,Fashion accessories,15.62,8,6.248,131.208,3/4/2019,20:37,UPI,124.96,4.761904762,6.248,9.1
371-85-5789,Ameerpet,Hyderabad,Non-Member,Male,Sports and travel,25.7,3,3.855,80.955,3/5/2019,17:59,UPI,77.1,4.761904762,3.855,6.1
510-95-6347,Ameerpet,Hyderabad,Member,Male,Food and beverages,80.62,6,24.186,507.906,3/5/2019,20:18,Cash,483.72,4.761904762,24.186,9.1
829-49-1914,Gurgaon,Banglore,Member,Female,Home and lifestyle,75.53,4,15.106,317.226,3/5/2019,15:52,UPI,302.12,4.761904762,15.106,8.3
730-50-9884,Gurgaon,Banglore,Non-Member,Female,Electronic accessories,77.63,9,34.9335,733.6035,3/5/2019,15:14,UPI,698.67,4.761904762,34.9335,7.2
733-01-9107,Gurgaon,Banglore,Non-Member,Female,Health and beauty,13.85,9,6.2325,130.8825,3/5/2019,12:50,UPI,124.65,4.761904762,6.2325,6
291-32-1427,Gurgaon,Banglore,Member,Male,Fashion accessories,98.7,8,39.48,829.08,3/5/2019,10:36,UPI,789.6,4.761904762,39.48,8.5
895-66-0685,Ameerpet,Hyderabad,Non-Member,Female,Health and beauty,35.68,5,8.92,187.32,3/5/2019,18:33,Credit/Debit card,178.4,4.761904762,8.92,6.6
755-12-3214,Ameerpet,Hyderabad,Member,Female,Fashion accessories,71.46,7,25.011,525.231,3/5/2019,16:06,UPI,500.22,4.761904762,25.011,4.5
848-42-2560,Ameerpet,Hyderabad,Member,Male,Electronic accessories,11.94,3,1.791,37.611,3/5/2019,12:47,Credit/Debit card,35.82,4.761904762,1.791,8.1
433-75-6987,Ameerpet,Hyderabad,Non-Member,Male,Fashion accessories,45.38,3,6.807,142.947,3/5/2019,13:34,Credit/Debit card,136.14,4.761904762,6.807,7.2
793-10-3222,Jayanagar,Mumbai,Member,Female,Fashion accessories,17.48,6,5.244,110.124,3/5/2019,15:04,Credit/Debit card,104.88,4.761904762,5.244,6.1
608-04-3797,Jayanagar,Mumbai,Non-Member,Female,Fashion accessories,25.56,7,8.946,187.866,3/5/2019,20:42,Cash,178.92,4.761904762,8.946,7.1
148-82-2527,Gurgaon,Banglore,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,3/5/2019,15:28,Cash,815.67,4.761904762,40.7835,5.1
655-07-2265,Jayanagar,Mumbai,Non-Member,Male,Home and lifestyle,44.12,3,6.618,138.978,3/5/2019,13:45,Credit/Debit card,132.36,4.761904762,6.618,7.9
174-64-0215,Gurgaon,Banglore,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,3/5/2019,20:10,Cash,257.39,4.761904762,12.8695,7.4
593-14-4239,Jayanagar,Mumbai,Member,Male,Food and beverages,23.34,4,4.668,98.028,3/5/2019,18:53,UPI,93.36,4.761904762,4.668,7.4
102-77-2261,Gurgaon,Banglore,Member,Female,Health and beauty,28.5,8,11.4,239.4,3/5/2019,14:24,Cash,228,4.761904762,11.4,6.6
199-75-8169,Gurgaon,Banglore,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,3/6/2019,11:42,Credit/Debit card,166.71,4.761904762,8.3355,5.9
802-70-5316,Jayanagar,Mumbai,Non-Member,Male,Sports and travel,69.74,10,34.87,732.27,3/6/2019,17:49,Credit/Debit card,697.4,4.761904762,34.87,8.9
262-47-2794,Gurgaon,Banglore,Non-Member,Male,Fashion accessories,97.26,4,19.452,408.492,3/6/2019,15:33,UPI,389.04,4.761904762,19.452,6.8
468-01-2051,Jayanagar,Mumbai,Member,Female,Home and lifestyle,52.18,7,18.263,383.523,3/6/2019,10:54,Cash,365.26,4.761904762,18.263,9.3
783-09-1637,Ameerpet,Hyderabad,Member,Female,Fashion accessories,22.32,4,4.464,93.744,3/6/2019,16:23,Credit/Debit card,89.28,4.761904762,4.464,4.4
523-38-0215,Ameerpet,Hyderabad,Non-Member,Male,Health and beauty,56,3,8.4,176.4,3/6/2019,19:33,UPI,168,4.761904762,8.4,4.8
254-31-0042,Ameerpet,Hyderabad,Member,Male,Fashion accessories,19.7,1,0.985,20.685,3/6/2019,11:39,UPI,19.7,4.761904762,0.985,9.5
885-17-6250,Jayanagar,Mumbai,Non-Member,Male,Electronic accessories,75.88,7,26.558,557.718,3/6/2019,10:38,UPI,531.16,4.761904762,26.558,8.9
149-15-7606,Jayanagar,Mumbai,Member,Male,Food and beverages,53.72,1,2.686,56.406,3/6/2019,20:03,UPI,53.72,4.761904762,2.686,6.4
715-20-1673,Gurgaon,Banglore,Member,Male,Health and beauty,81.95,10,40.975,860.475,3/6/2019,12:39,Credit/Debit card,819.5,4.761904762,40.975,6
883-69-1285,Gurgaon,Banglore,Member,Female,Home and lifestyle,81.2,7,28.42,596.82,3/6/2019,15:59,Credit/Debit card,568.4,4.761904762,28.42,8.1
242-55-6721,Gurgaon,Banglore,Non-Member,Male,Electronic accessories,58.76,10,29.38,616.98,3/7/2019,14:26,UPI,587.6,4.761904762,29.38,9
307-85-2293,Jayanagar,Mumbai,Member,Male,Electronic accessories,91.56,8,36.624,769.104,3/7/2019,18:22,UPI,732.48,4.761904762,36.624,6
821-07-3596,Ameerpet,Hyderabad,Non-Member,Male,Home and lifestyle,93.96,9,42.282,887.922,3/7/2019,11:32,Cash,845.64,4.761904762,42.282,9.8
423-64-4619,Gurgaon,Banglore,Non-Member,Male,Home and lifestyle,55.61,7,19.4635,408.7335,3/7/2019,12:41,Cash,389.27,4.761904762,19.4635,8.5
471-41-2823,Gurgaon,Banglore,Non-Member,Male,Food and beverages,84.83,1,4.2415,89.0715,3/7/2019,15:20,UPI,84.83,4.761904762,4.2415,8.8
598-47-9715,Ameerpet,Hyderabad,Member,Female,Sports and travel,71.63,2,7.163,150.423,3/7/2019,14:33,UPI,143.26,4.761904762,7.163,8.8
643-38-7867,Ameerpet,Hyderabad,Member,Male,Home and lifestyle,37.69,2,3.769,79.149,3/7/2019,15:29,UPI,75.38,4.761904762,3.769,9.5
399-69-4630,Gurgaon,Banglore,Member,Female,Sports and travel,31.67,8,12.668,266.028,3/7/2019,16:19,Credit/Debit card,253.36,4.761904762,12.668,5.6
748-45-2862,Gurgaon,Banglore,Member,Female,Food and beverages,38.42,1,1.921,40.341,3/7/2019,16:33,Cash,38.42,4.761904762,1.921,8.6
226-31-3081,Jayanagar,Mumbai,Member,Male,Fashion accessories,65.23,10,32.615,684.915,3/8/2019,19:07,Credit/Debit card,652.3,4.761904762,32.615,5.2
594-34-4444,Gurgaon,Banglore,Member,Female,Home and lifestyle,10.53,5,2.6325,55.2825,3/8/2019,14:43,Credit/Debit card,52.65,4.761904762,2.6325,5.8
483-71-1164,Jayanagar,Mumbai,Member,Female,Home and lifestyle,12.29,9,5.5305,116.1405,3/8/2019,19:28,Credit/Debit card,110.61,4.761904762,5.5305,8
458-41-1477,Gurgaon,Banglore,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,3/8/2019,20:44,Cash,568.61,4.761904762,28.4305,9
563-91-7120,Jayanagar,Mumbai,Member,Female,Fashion accessories,22.32,4,4.464,93.744,3/8/2019,11:16,UPI,89.28,4.761904762,4.464,4.1
632-90-0281,Ameerpet,Hyderabad,Non-Member,Female,Food and beverages,27.28,5,6.82,143.22,3/8/2019,10:31,Credit/Debit card,136.4,4.761904762,6.82,8.6
325-77-6186,Ameerpet,Hyderabad,Member,Female,Electronic accessories,17.42,10,8.71,182.91,3/8/2019,12:30,UPI,174.2,4.761904762,8.71,7
574-57-9721,Jayanagar,Mumbai,Non-Member,Male,Home and lifestyle,73.28,5,18.32,384.72,3/8/2019,15:05,UPI,366.4,4.761904762,18.32,8.4
345-08-4992,Gurgaon,Banglore,Member,Female,Fashion accessories,84.87,3,12.7305,267.3405,3/8/2019,18:30,UPI,254.61,4.761904762,12.7305,7.4
549-96-4200,Ameerpet,Hyderabad,Non-Member,Female,Fashion accessories,97.29,8,38.916,817.236,3/8/2019,13:18,Credit/Debit card,778.32,4.761904762,38.916,6.2
364-33-8584,Jayanagar,Mumbai,Member,Female,Electronic accessories,35.74,8,14.296,300.216,3/8/2019,15:28,UPI,285.92,4.761904762,14.296,4.9
529-56-3974,Ameerpet,Hyderabad,Non-Member,Female,Home and lifestyle,96.52,6,28.956,608.076,3/9/2019,11:52,Cash,579.12,4.761904762,28.956,4.5
132-32-9879,Ameerpet,Hyderabad,Member,Male,Food and beverages,18.85,10,9.425,197.925,3/9/2019,18:24,UPI,188.5,4.761904762,9.425,5.6
841-35-6630,Ameerpet,Hyderabad,Non-Member,Female,Food and beverages,55.39,4,11.078,232.638,3/9/2019,15:19,UPI,221.56,4.761904762,11.078,8
360-39-5055,Jayanagar,Mumbai,Member,Female,Food and beverages,77.2,10,38.6,810.6,3/9/2019,10:38,Credit/Debit card,772,4.761904762,38.6,5.6
219-22-9386,Jayanagar,Mumbai,Non-Member,Male,Electronic accessories,72.13,10,36.065,757.365,3/9/2019,15:12,Credit/Debit card,721.3,4.761904762,36.065,4.2
268-27-6179,Ameerpet,Hyderabad,Member,Female,Fashion accessories,63.88,8,25.552,536.592,3/9/2019,17:48,UPI,511.04,4.761904762,25.552,9.9
157-13-5295,Ameerpet,Hyderabad,Member,Female,Health and beauty,10.69,5,2.6725,56.1225,3/9/2019,11:07,UPI,53.45,4.761904762,2.6725,7.6
815-11-1168,Ameerpet,Hyderabad,Member,Male,Health and beauty,55.5,4,11.1,233.1,3/9/2019,15:48,Credit/Debit card,222,4.761904762,11.1,6.6
308-47-4913,Jayanagar,Mumbai,Non-Member,Female,Home and lifestyle,95.46,8,38.184,801.864,3/9/2019,19:40,UPI,763.68,4.761904762,38.184,4.7
489-64-4354,Gurgaon,Banglore,Non-Member,Female,Fashion accessories,76.06,3,11.409,239.589,3/9/2019,20:30,Credit/Debit card,228.18,4.761904762,11.409,9.8
616-87-0016,Jayanagar,Mumbai,Non-Member,Male,Sports and travel,13.69,6,4.107,86.247,3/9/2019,13:59,Cash,82.14,4.761904762,4.107,6.3
127-47-6963,Jayanagar,Mumbai,Non-Member,Female,Electronic accessories,95.64,4,19.128,401.688,3/9/2019,18:51,Cash,382.56,4.761904762,19.128,7.9
277-35-5865,Ameerpet,Hyderabad,Non-Member,Female,Home and lifestyle,11.43,6,3.429,72.009,3/9/2019,17:24,Cash,68.58,4.761904762,3.429,7.7
816-57-2053,Jayanagar,Mumbai,Member,Female,Sports and travel,95.54,4,19.108,401.268,3/9/2019,11:58,UPI,382.16,4.761904762,19.108,4.5
299-29-0180,Gurgaon,Banglore,Member,Female,Health and beauty,85.87,7,30.0545,631.1445,3/9/2019,19:01,Credit/Debit card,601.09,4.761904762,30.0545,8
652-43-6591,Gurgaon,Banglore,Member,Female,Sports and travel,67.99,7,23.7965,499.7265,3/9/2019,16:50,UPI,475.93,4.761904762,23.7965,5.7
189-17-4241,Gurgaon,Banglore,Non-Member,Female,Food and beverages,52.42,1,2.621,55.041,3/10/2019,10:22,Credit/Debit card,52.42,4.761904762,2.621,6.3
129-29-8530,Gurgaon,Banglore,Member,Male,Food and beverages,65.65,2,6.565,137.865,3/10/2019,16:46,Cash,131.3,4.761904762,6.565,6
668-90-8900,Jayanagar,Mumbai,Non-Member,Female,Food and beverages,28.86,5,7.215,151.515,3/10/2019,18:08,Credit/Debit card,144.3,4.761904762,7.215,8
790-29-1172,Gurgaon,Banglore,Member,Male,Health and beauty,65.31,7,22.8585,480.0285,3/10/2019,18:02,Credit/Debit card,457.17,4.761904762,22.8585,4.2
596-42-3999,Jayanagar,Mumbai,Non-Member,Male,Sports and travel,93.38,1,4.669,98.049,3/10/2019,13:07,Cash,93.38,4.761904762,4.669,9.6
696-90-2548,Gurgaon,Banglore,Member,Male,Sports and travel,25.25,5,6.3125,132.5625,3/10/2019,17:52,Cash,126.25,4.761904762,6.3125,6.1
453-12-7053,Jayanagar,Mumbai,Member,Male,Electronic accessories,87.87,9,39.5415,830.3715,3/10/2019,20:32,UPI,790.83,4.761904762,39.5415,5.6
239-48-4278,Gurgaon,Banglore,Non-Member,Male,Health and beauty,21.8,8,8.72,183.12,3/10/2019,19:24,Cash,174.4,4.761904762,8.72,8.3
607-65-2441,Ameerpet,Hyderabad,Non-Member,Female,Sports and travel,94.76,4,18.952,397.992,3/10/2019,16:06,UPI,379.04,4.761904762,18.952,7.8
246-55-6923,Ameerpet,Hyderabad,Member,Female,Fashion accessories,30.62,1,1.531,32.151,3/10/2019,14:14,Credit/Debit card,30.62,4.761904762,1.531,4.1
156-20-0370,Gurgaon,Banglore,Non-Member,Female,Home and lifestyle,44.01,8,17.604,369.684,3/10/2019,17:36,Cash,352.08,4.761904762,17.604,8.8
745-74-0715,Gurgaon,Banglore,Member,Female,Health and beauty,10.16,5,2.54,53.34,3/10/2019,13:08,UPI,50.8,4.761904762,2.54,4.1
656-95-9349,Ameerpet,Hyderabad,Non-Member,Male,Electronic accessories,74.58,7,26.103,548.163,3/11/2019,16:09,Credit/Debit card,522.06,4.761904762,26.103,9
319-50-3348,Gurgaon,Banglore,Non-Member,Male,Electronic accessories,71.89,8,28.756,603.876,3/11/2019,11:33,UPI,575.12,4.761904762,28.756,5.5
584-86-7256,Gurgaon,Banglore,Non-Member,Female,Health and beauty,10.99,5,2.7475,57.6975,3/11/2019,10:18,Credit/Debit card,54.95,4.761904762,2.7475,9.3
891-58-8335,Gurgaon,Banglore,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,3/11/2019,10:55,Credit/Debit card,181.41,4.761904762,9.0705,5.6
721-86-6247,Ameerpet,Hyderabad,Non-Member,Male,Sports and travel,58.91,7,20.6185,432.9885,3/11/2019,15:15,UPI,412.37,4.761904762,20.6185,9.7
448-81-5016,Ameerpet,Hyderabad,Non-Member,Male,Fashion accessories,46.41,1,2.3205,48.7305,3/11/2019,20:06,Credit/Debit card,46.41,4.761904762,2.3205,4
704-20-4138,Gurgaon,Banglore,Member,Male,Health and beauty,68.55,4,13.71,287.91,3/11/2019,20:21,Credit/Debit card,274.2,4.761904762,13.71,9.2
689-16-9784,Jayanagar,Mumbai,Non-Member,Female,Home and lifestyle,97.37,10,48.685,1022.385,3/11/2019,13:48,Credit/Debit card,973.7,4.761904762,48.685,4.9
892-05-6689,Ameerpet,Hyderabad,Member,Male,Electronic accessories,92.6,7,32.41,680.61,3/11/2019,12:52,Credit/Debit card,648.2,4.761904762,32.41,9.3
749-81-8133,Ameerpet,Hyderabad,Non-Member,Female,Electronic accessories,46.61,2,4.661,97.881,3/11/2019,12:28,Credit/Debit card,93.22,4.761904762,4.661,6.6
214-30-2776,Jayanagar,Mumbai,Non-Member,Male,Fashion accessories,27.18,2,2.718,57.078,3/11/2019,16:26,UPI,54.36,4.761904762,2.718,4.3
120-06-4233,Gurgaon,Banglore,Member,Female,Home and lifestyle,60.87,1,3.0435,63.9135,3/12/2019,13:24,Cash,60.87,4.761904762,3.0435,5.5
152-08-9985,Ameerpet,Hyderabad,Member,Female,Sports and travel,24.49,10,12.245,257.145,3/12/2019,15:15,Cash,244.9,4.761904762,12.245,8.1
699-01-4164,Jayanagar,Mumbai,Non-Member,Male,Health and beauty,92.78,1,4.639,97.419,3/12/2019,10:50,Credit/Debit card,92.78,4.761904762,4.639,9.8
545-46-3100,Gurgaon,Banglore,Member,Male,Home and lifestyle,86.69,5,21.6725,455.1225,3/12/2019,18:38,UPI,433.45,4.761904762,21.6725,9.4
253-12-6086,Jayanagar,Mumbai,Non-Member,Male,Sports and travel,23.01,6,6.903,144.963,3/12/2019,16:45,UPI,138.06,4.761904762,6.903,7.9
565-17-3836,Gurgaon,Banglore,Member,Female,Electronic accessories,30.2,8,12.08,253.68,3/12/2019,19:30,UPI,241.6,4.761904762,12.08,5.1
573-10-3877,Gurgaon,Banglore,Member,Male,Fashion accessories,67.39,7,23.5865,495.3165,3/12/2019,13:23,UPI,471.73,4.761904762,23.5865,6.9
276-54-0879,Ameerpet,Hyderabad,Member,Female,Fashion accessories,48.96,9,22.032,462.672,3/12/2019,11:27,Cash,440.64,4.761904762,22.032,8
719-76-3868,Jayanagar,Mumbai,Member,Female,Electronic accessories,75.59,9,34.0155,714.3255,3/12/2019,11:12,Cash,680.31,4.761904762,34.0155,8
651-61-0874,Ameerpet,Hyderabad,Non-Member,Female,Home and lifestyle,77.47,4,15.494,325.374,3/12/2019,16:36,Cash,309.88,4.761904762,15.494,4.2
266-20-6657,Ameerpet,Hyderabad,Non-Member,Female,Sports and travel,93.18,2,9.318,195.678,3/12/2019,18:41,Credit/Debit card,186.36,4.761904762,9.318,8.5
427-45-9297,Ameerpet,Hyderabad,Non-Member,Female,Electronic accessories,50.23,4,10.046,210.966,3/12/2019,17:12,Cash,200.92,4.761904762,10.046,9
877-22-3308,Jayanagar,Mumbai,Non-Member,Female,Health and beauty,17.75,1,0.8875,18.6375,3/13/2019,10:38,Cash,17.75,4.761904762,0.8875,8.6
336-78-2147,Gurgaon,Banglore,Non-Member,Female,Fashion accessories,62.18,10,31.09,652.89,3/13/2019,10:33,UPI,621.8,4.761904762,31.09,6
101-17-6199,Jayanagar,Mumbai,Non-Member,Male,Health and beauty,10.75,8,4.3,90.3,3/13/2019,14:38,UPI,86,4.761904762,4.3,6.2
655-85-5130,Ameerpet,Hyderabad,Non-Member,Female,Electronic accessories,40.26,10,20.13,422.73,3/13/2019,18:06,Credit/Debit card,402.6,4.761904762,20.13,5
585-03-5943,Gurgaon,Banglore,Member,Female,Sports and travel,64.97,5,16.2425,341.0925,3/13/2019,12:52,Credit/Debit card,324.85,4.761904762,16.2425,6.5
316-01-3952,Ameerpet,Hyderabad,Non-Member,Male,Electronic accessories,95.15,1,4.7575,99.9075,3/13/2019,14:00,Cash,95.15,4.761904762,4.7575,6
686-41-0932,Ameerpet,Hyderabad,Member,Female,Electronic accessories,48.62,8,19.448,408.408,3/13/2019,10:57,Cash,388.96,4.761904762,19.448,5
173-57-2300,Jayanagar,Mumbai,Non-Member,Female,Food and beverages,53.21,8,21.284,446.964,3/13/2019,16:45,UPI,425.68,4.761904762,21.284,5
584-66-4073,Gurgaon,Banglore,Non-Member,Female,Fashion accessories,45.44,7,15.904,333.984,3/13/2019,11:15,Cash,318.08,4.761904762,15.904,9.2
137-74-8729,Ameerpet,Hyderabad,Non-Member,Male,Food and beverages,33.88,8,13.552,284.592,3/13/2019,20:29,UPI,271.04,4.761904762,13.552,9.6
808-65-0703,Jayanagar,Mumbai,Member,Male,Health and beauty,96.16,4,19.232,403.872,3/14/2019,20:03,Credit/Debit card,384.64,4.761904762,19.232,8.4
